-1.034	ss	5909.4400
-1.034	ss	887.4510
-1.034	ss	204.7490
-1.034	ss	59.8376
-1.034	ss	19.9981
-1.034	ss	7.1927
-1.034	ss	2.6860
-1.034	ss	0.7000
-1.034	ss	0.2133
-1.034	px	26.7860
-1.034	py	26.7860
-1.034	pz	26.7860
-1.034	px	5.9564
-1.034	py	5.9564
-1.034	pz	5.9564
-1.034	px	1.7074
-1.034	py	1.7074
-1.034	pz	1.7074
-1.034	px	0.5314
-1.034	py	0.5314
-1.034	pz	0.5314
-1.034	px	0.1654
-1.034	py	0.1654
-1.034	pz	0.1654
-1.034	px	0.7000
-1.034	py	0.7000
-1.034	pz	0.7000
-1.034	xx	0.8000
-1.034	yy	0.8000
-1.034	zz	0.8000
-1.034	xy	0.8000
-1.034	xz	0.8000
-1.034	yz	0.8000
1.034	ss	5909.4400
1.034	ss	887.4510
1.034	ss	204.7490
1.034	ss	59.8376
1.034	ss	19.9981
1.034	ss	7.1927
1.034	ss	2.6860
1.034	ss	0.7000
1.034	ss	0.2133
1.034	px	26.7860
1.034	py	26.7860
1.034	pz	26.7860
1.034	px	5.9564
1.034	py	5.9564
1.034	pz	5.9564
1.034	px	1.7074
1.034	py	1.7074
1.034	pz	1.7074
1.034	px	0.5314
1.034	py	0.5314
1.034	pz	0.5314
1.034	px	0.1654
1.034	py	0.1654
1.034	pz	0.1654
1.034	px	0.7000
1.034	py	0.7000
1.034	pz	0.7000
1.034	xx	0.8000
1.034	yy	0.8000
1.034	zz	0.8000
1.034	xy	0.8000
1.034	xz	0.8000
1.034	yz	0.8000
-1.034	px	3.0000
-1.034	py	3.0000
-1.034	pz	3.0000
-1.034	px	0.2500
-1.034	py	0.2500
-1.034	pz	0.2500
-1.034	xx	0.4000
-1.034	yy	0.4000
-1.034	zz	0.4000
-1.034	xy	0.4000
-1.034	xz	0.4000
-1.034	yz	0.4000
1.034	px	3.0000
1.034	py	3.0000
1.034	pz	3.0000
1.034	px	0.2500
1.034	py	0.2500
1.034	pz	0.2500
1.034	xx	0.4000
1.034	yy	0.4000
1.034	zz	0.4000
1.034	xy	0.4000
1.034	xz	0.4000
1.034	yz	0.4000
0.000	xx	0.2000
0.000	yy	0.2000
0.000	zz	0.2000
0.000	xy	0.2000
0.000	xz	0.2000
0.000	yz	0.2000
0.000	xx	0.1000
0.000	yy	0.1000
0.000	zz	0.1000
0.000	xy	0.1000
0.000	xz	0.1000
0.000	yz	0.1000
